database,pages_ id,Region,Site_name,Lat_N,Long_E,Archive,Proxy_ measurement,Oldest_year,Youngest_year,Time_Units,Original_Author,Original_data_URL,database_link
Arctic_V1.1_2014,Arc_1,Alaska,Blue lake,68.1,-150.5,Lake sediment,Varve thickness,730,2005,(CE),"Bird et al., (2009)",https://doi.org/10.1007/s10933-008-9262-y,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_2,Central Russia,Avam-Taimyr,72,101,Tree ring,Ring width,-100,2003,(CE),"Briffa et al., (2007)",https://doi.org/10.1098/rstb.2007.2199,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_3,Central Russia,Yamal,67.5,70,Tree ring,Ring width,1,1996,(CE),"Briffa et al., (2007)",https://doi.org/10.1098/rstb.2007.2199,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_4,Canada,Lower Lake Murray,81.4,-69.5,Lake sediment,Mass accumulation rate,-3236,2004,(CE),"Cook et al., (2009)",https://doi.org/10.1007/s10933-008-9252-0,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_5,Greenland,Camp Century,77.2,-61.1,Ice core,d18O,1242,1967,(CE),"Dansgaard et al., (1969)",https://doi.org/10.1126/science.166.3903.377,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_6,Alaska,Seward Peninsula,65.2,-162.2,Tree ring,Ring width,1288,2002,(CE),"D'Arrigo et al., (2005)",https://doi.org/10.1007/s00382-004-0502-1,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_7,Alaska,Gulf of Alaska,61,-146.6,Tree ring,Ring width,724,2002,(CE),"Wiles et al., (2014)",https://doi.org/10.1177/0959683613516815,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_8,Canada,Yukon,67.9,-140.7,Tree ring,Ring width,1177,2002,(CE),"D'Arrigo et al., (2006)",https://doi.org/10.1029/2005JD006352,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_9,Canada,Coppermine River,67.1,-115.9,Tree ring,Ring width,1288,2003,(CE),"D'Arrigo et al., (2009)",https://doi.org/10.1016/j.gloplacha.2008.10.011,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_10,Central Russia,Polar Urals,66.8,65.8,Tree ring,Maximum density,778,1990,(CE),"Esper et al., (2002)",https://doi.org/10.1126/science.1066208,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_11,Greenland,GISP2,72.1,-38.1,Ice core,d18O,818,1987,(CE),Grootes and Stuiver (1997),https://doi.org/10.1029/97JC00880,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_12,Scandinavia,Torneträsk,68.3,19.6,Tree ring,Ring Width,-39,2010,(CE),Grudd (2008),https://doi.org/10.1007/s00382-007-0358-2,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_13,Scandinavia,Jämtland,63.5,15.5,Tree ring,Maximum density,1107,2007,(CE),"Gunnarson et al., (2011)",https://doi.org/10.1007/s00382-010-0783-5,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_14,Scandinavia,Lake Lehmilampi,63.6,29.1,Lake sediment,Varve thickness,1,1800,(CE),"Haltia-Hovi et al., (2007)",https://doi.org/10.1016/j.quascirev.2006.11.005,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_15,Scandinavia,Lapland,69,25,Tree ring,Ring width,0,2005,(CE),"Helama et al., (2010)",https://doi.org/10.1130/B30088.1,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_16,Eastern Russia,Indigurka,69.5,147,Tree ring,"Ring width, STD",1259,1994,(CE),"Hughes et al., (1999)",https://doi.org/10.1191%2F095968399671321516,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_17,North Atlantic,Lomonosovfonna,78.9,17.4,Ice core,d18O,1400,1997,(CE),"Divine et al., (2011)",https://doi.org/10.3402/polar.v30i0.7379,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_18,North Atlantic,Austfonna,79.8,24,Ice core,d18O,1400,1998,(CE),"Isaksson et al., (2004)",https://doi.org/10.1111/j.0435-3676.2005.00253.x,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_19,Scandinavia,Forfjorddalen 2,69.1,17.2,Tree ring,Ring width,1254,1994,(CE),Kirchhefer (2001),https://doi.org/10.1191%2F095968301670181592,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_20,Arctic Canada,Lake C2,82.1,-77.2,Lake sediment,Varve thickness,-1309,1987,(CE),Lamoureux and Bradley (1996),https://doi.org/10.1007/BF00176939,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_22,North Atlantic,Hvítárvatn,64.6,-19.8,Lake sediment,Varce thickness,-981,2002,(CE),"Larsen et al., (2011)",https://doi.org/10.1016/j.quascirev.2011.05.026,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_23,Alaska,Iceberg Lake,60.8,-143,Lake sediment,Varve thickness,442,1998,(CE),"Loso et al., (2017)",https://doi.org/10.1016/j.yqres.2005.11.007,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_24,Eastern Russia,Lower Lena River,70.7,125.9,Tree ring,"Ring width, ARS",1490,1994,(CE),"MacDonald et al., (1998)",https://doi.org/10.2307/1552005,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_25,Arctic Canada,Donard Lake,66.7,-61.4,Lake sediment,Thickness,752,1992,(CE),"moore et al., (2001)",https://doi.org/10.1023/A:1011181301514,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_26,Scandinavia,Lake Nautajärvi,61.8,24.7,Lake sediment,Organic matter,0,1800,(CE),Ojala and Alenius (2005),https://doi.org/10.1016/j.palaeo.2005.01.002,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_27,Greenland,B16,73.9,-37.6,Ice core,d18O,1478,1992,(CE),Miller and Schwager (2000),https://doi.org/10.1594/PANGAEA.57158,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_28,Greenland,B18,76.6,-36.4,Ice core,d18O,871,1992,(CE),Miller and Schwager (2000),https://doi.org/10.1594/PANGAEA.57158,https://www.ncei.noaa.gov/access/paleo-search/study/16973
Arctic_V1.1_2014,Arc_29,Greenland,B21,80,-41.1,Ice core,d18O,1397,1993,(CE),Miller and Schwager (2000),https://doi.org/10.1594/PANGAEA.57158,https://www.ncei.noaa.gov/access/paleo-search/study/16973
